4:5676
11970000,279,4,4,#1
9795000,271,3,3,#2
13880000,312,4,4,#3
9455000,224,3,3,#4
9255000,238,3,3,#5
4390000,132,2,2,#6
4295000,145,3,2,#7
995000,120,2,2,#8
645000,56,2,1,#9
1195000,102,2,2,#10
1295000,134,2,2,#11
1100000,74,1,1,#12
2250000,148,3,3,#13
12500000,233,3,4,#14
1925000,139,3,3,#15
2795000,138,2,3,#16
2525000,138,2,3,#17
2725000,137,2,3,#18
1495000,123,3,2,#19
2195000,306,8,3,#20
430000,102,2,1,#21
595000,185,3,2,#22
565000,132,6,3,#23
225000,69,2,1,#24
1128888,214,4,1,#25
1075000,236,4,14,#26
769000,65,1,1,#27
699000,0,5,3,#28
17850000,420,4,4,#29
265500,120,3,2,#30
7515000,233,2,2,#31
8435000,235,3,3,#32
7690000,208,3,3,#33
6410000,206,3,3,#34
21500000,410,4,5,#35
5975000,185,2,2,#36
3750000,179,3,4,#37
1268000,235,4,3,#38
5595000,163,2,2,#39
3500000,119,2,3,#40
619000,125,2,2,#41
599000,139,3,3,#42
2750000,138,2,2,#43
1075000,301,4,3,#44
1190000,89,1,1,#45
2490000,111,2,2,#46
389000,30,0,1,#47
855000,43,0,1,#48
248000,69,1,1,#49
419000,41,0,1,#50
1445000,77,1,1,#51
678000,134,3,2,#52
1450000,84,1,1,#53
948000,61,1,1,#54
920000,82,2,2,#55
1450000,81,1,1,#56
975000,38,0,1,#57
1999900,92,1,2,#58
1399000,218,4,4,#59
889000,87,2,2,#60
429999,51,1,1,#61
1695000,171,5,5,#62
249000,53,1,1,#63
1899000,236,8,5,#64
209000,69,1,1,#65
1200000,87,1,1,#66
599000,120,3,2,#67
949000,65,1,1,#68
870000,182,7,2,#69
475000,100,3,1,#70
774900,222,4,3,#71
1295000,105,2,2,#72
749000,184,3,2,#73
499000,114,3,1,#74
735000,45,0,1,#75
379900,79,2,1,#76
2125000,96,0,1,#77
4600000,183,2,2,#78
788000,110,3,1,#79
510000,40,0,1,#80
499000,120,3,1,#81
3799000,562,7,3,#82
1099000,157,2,2,#83
149000,37,0,1,#84
895000,78,2,2,#85
625000,62,2,1,#86
9475000,263,4,4,#87
1495000,63,1,1,#88
1400000,548,11,6,#89
799999,148,5,2,#90
749000,157,3,2,#91
325000,67,2,1,#92
550000,165,3,2,#93
4495000,179,3,3,#94
639000,185,5,2,#95
419000,75,2,1,#96
149000,69,1,1,#97
649900,163,3,2,#98
534900,166,2,1,#99
239000,74,1,1,#100
359000,107,2,1,#101
799000,150,2,2,#102
309000,95,2,1,#103
1649000,575,5,4,#104
688000,143,4,2,#105
8995000,178,2,2,#106
469000,124,3,1,#107
469000,78,1,1,#108
999000,299,6,2,#109
1500000,104,2,2,#110
839000,213,6,4,#111
1950000,312,6,3,#112
1099000,109,2,2,#113
